vote_trump,census_region,state,age,weight_2020,hispan,sex,race,income,education_category,stateicp
0,1,NY,51,0.18815044157592495,0,0,1,1,2,New York
0,3,FL,55,0.21637878050299464,0,0,1,1,3,Florida
0,3,VA,77,3.6317450421374926,0,0,1,2,3,Virginia
1,3,TX,73,1.8528639770883026,0,0,1,3,3,Texas
0,1,PA,43,0.10578530896991666,0,0,1,2,3,Pennsylvania
1,1,NY,61,0.43387392942865544,0,0,1,1,1,New York
0,3,TN,35,0.21597614667481646,0,0,1,1,2,Tennessee
0,1,NY,18,0.40260616339830607,1,1,5,1,1,New York
1,3,FL,19,0.8101423543746775,0,0,1,1,2,Florida
0,1,NY,36,0.12839069575016568,0,0,1,1,3,New York
1,1,PA,61,0.45752318185734836,0,0,1,1,2,Pennsylvania
0,3,TN,19,0.07712385912180075,1,1,2,1,2,Tennessee
1,4,CA,62,2.8028864863734677,0,1,1,4,3,California
0,3,DE,20,0.23493097424473652,1,0,3,1,1,Delaware
1,3,AL,22,0.22933527207025878,0,0,2,1,1,Alabama
0,2,IL,73,0.6846986404907399,0,1,1,1,2,Illinois
0,3,TN,38,0.053377285207151716,0,0,2,1,2,Tennessee
1,4,OR,31,0.15796551773752063,0,1,1,1,3,Oregon
0,2,IL,72,2.2431680574925092,0,0,1,2,2,Illinois
1,4,OR,87,4.944466443098679,0,0,1,4,3,Oregon
0,1,ME,74,0.8822770885470795,0,0,1,1,2,Maine
1,3,GA,38,0.9870702533829305,0,0,1,3,3,Georgia
1,4,WA,35,1.034909968997417,0,0,1,3,3,Washington
0,4,AZ,34,0.06548308588527472,0,0,1,1,3,Arizona
1,3,TX,57,0.08951918619722544,0,0,1,1,3,Texas
